trialid,puffDur,puffNum,puffFreq,totalDur,totalRecDur,iti
0,40,100,0.5,50,50.5,0
1,40,80,4,20,20.5,0
2,40,100,0.5,50,50.5,0
3,40,24,8,3,3.5,180
4,40,24,8,3,3.5,5
5,40,9,3,3,3.5,5
6,40,45,15,3,3.5,5
7,40,24,8,3,3.5,5
8,40,5,1,5,5.5,5
9,40,9,3,3,3.5,5
10,40,24,8,3,3.5,5
11,40,24,8,3,3.5,5
12,40,9,3,3,3.5,5
13,40,9,3,3,3.5,5
14,40,5,1,5,5.5,5
15,40,25,5,5,5.5,5
16,40,9,3,3,3.5,5
17,40,30,10,3,3.5,5
18,40,45,15,3,3.5,5
19,40,45,15,3,3.5,5
20,40,9,3,3,3.5,5
21,40,15,5,3,3.5,5
22,40,45,15,3,3.5,5
23,40,15,5,3,3.5,5
24,40,30,10,3,3.5,5
25,40,5,1,5,5.5,5
26,40,30,10,3,3.5,5
27,40,30,10,3,3.5,5
28,40,5,1,5,5.5,5
29,40,9,3,3,3.5,5
30,40,30,10,3,3.5,5
31,40,30,10,3,3.5,5
32,40,9,3,3,3.5,5
33,40,5,1,5,5.5,5
34,40,45,15,3,3.5,5
35,40,5,1,5,5.5,5
36,40,45,15,3,3.5,5
37,40,30,10,3,3.5,5
38,40,15,5,3,3.5,5
39,40,24,8,3,3.5,5
40,40,45,15,3,3.5,5
41,40,15,5,3,3.5,5
42,40,5,1,5,5.5,5
43,40,24,8,3,3.5,5
44,40,30,10,3,3.5,5
45,40,9,3,3,3.5,5
46,40,9,3,3,3.5,5
47,40,15,5,3,3.5,5
48,40,15,5,3,3.5,5
49,40,45,15,3,3.5,5
50,40,45,15,3,3.5,5
51,40,9,3,3,3.5,5
52,40,5,1,5,5.5,5
53,40,24,8,3,3.5,5
54,40,45,15,3,3.5,5
55,40,5,1,5,5.5,5
56,40,24,8,3,3.5,5
57,40,15,5,3,3.5,5
58,40,30,10,3,3.5,5
59,40,24,8,3,3.5,5
60,40,45,15,3,3.5,5
61,40,30,10,3,3.5,5
62,40,30,10,3,3.5,5
63,40,9,3,3,3.5,5
64,40,30,10,3,3.5,5
65,40,15,5,3,3.5,5
66,40,30,10,3,3.5,5
67,40,5,1,5,5.5,5
68,40,5,1,5,5.5,5
69,40,45,15,3,3.5,5
70,40,24,8,3,3.5,5
71,40,5,1,5,5.5,5
72,40,5,1,5,5.5,5
73,40,9,3,3,3.5,5
74,40,24,8,3,3.5,5
75,40,5,1,5,5.5,5
76,40,5,1,5,5.5,5
77,40,9,3,3,3.5,5
78,40,45,15,3,3.5,5
79,40,9,3,3,3.5,5
80,40,5,1,5,5.5,5
81,40,45,15,3,3.5,5
82,40,30,10,3,3.5,5
83,40,15,5,3,3.5,5
84,40,15,5,3,3.5,5
85,40,5,1,5,5.5,5
86,40,15,5,3,3.5,5
87,40,30,10,3,3.5,5
88,40,45,15,3,3.5,5
89,40,30,10,3,3.5,5
90,40,5,1,5,5.5,5
91,40,30,10,3,3.5,5
92,40,24,8,3,3.5,5
93,40,5,1,5,5.5,5
94,40,9,3,3,3.5,5
95,40,24,8,3,3.5,5
96,40,9,3,3,3.5,5
97,40,15,5,3,3.5,5
98,40,5,1,5,5.5,5
99,40,45,15,3,3.5,5
100,40,30,10,3,3.5,5
101,40,30,10,3,3.5,5
102,40,45,15,3,3.5,5
103,40,24,8,3,3.5,5
104,40,15,5,3,3.5,5
105,40,9,3,3,3.5,5
106,40,9,3,3,3.5,5
107,40,45,15,3,3.5,5
108,40,5,1,5,5.5,5
109,40,30,10,3,3.5,5
110,40,30,10,3,3.5,5
111,40,5,1,5,5.5,5
112,40,9,3,3,3.5,5
113,40,15,5,3,3.5,5
114,40,9,3,3,3.5,5
115,40,24,8,3,3.5,5
116,40,5,1,5,5.5,5
117,40,24,8,3,3.5,5
118,40,30,10,3,3.5,5
119,40,15,5,3,3.5,5
120,40,15,5,3,3.5,5
121,40,15,5,3,3.5,5
122,40,30,10,3,3.5,5
123,40,15,5,3,3.5,5
124,40,5,1,5,5.5,5
125,40,15,5,3,3.5,5
126,40,9,3,3,3.5,5
127,40,9,3,3,3.5,5
128,40,45,15,3,3.5,5
129,40,30,10,3,3.5,5
130,40,24,8,3,3.5,5
131,40,24,8,3,3.5,5
132,40,15,5,3,3.5,5
133,40,5,1,5,5.5,5
134,40,5,1,5,5.5,5
135,40,9,3,3,3.5,5
136,40,45,15,3,3.5,5
137,40,15,5,3,3.5,5
138,40,30,10,3,3.5,5
139,40,45,15,3,3.5,5
140,40,24,8,3,3.5,5
141,40,15,5,3,3.5,5
142,40,24,8,3,3.5,5
143,40,45,15,3,3.5,5
144,40,24,8,3,3.5,5
145,40,24,8,3,3.5,5
146,40,15,5,3,3.5,5
147,40,5,1,5,5.5,5
148,40,15,5,3,3.5,5
149,40,9,3,3,3.5,5
150,40,15,5,3,3.5,5
151,40,5,1,5,5.5,5
152,40,30,10,3,3.5,5
153,40,15,5,3,3.5,5
154,40,45,15,3,3.5,5
155,40,24,8,3,3.5,5
156,40,9,3,3,3.5,5
157,40,45,15,3,3.5,5
158,40,45,15,3,3.5,5
159,40,5,1,5,5.5,5
160,40,15,5,3,3.5,5
161,40,45,15,3,3.5,5
162,40,15,5,3,3.5,5
163,40,15,5,3,3.5,5
164,40,9,3,3,3.5,5
165,40,24,8,3,3.5,5
166,40,24,8,3,3.5,5
167,40,24,8,3,3.5,5
168,40,24,8,3,3.5,5
169,40,5,1,5,5.5,5
170,40,30,10,3,3.5,5
171,40,24,8,3,3.5,5
172,40,24,8,3,3.5,5
173,40,15,5,3,3.5,5
174,40,45,15,3,3.5,5
175,40,30,10,3,3.5,5
176,40,5,1,5,5.5,5
177,40,5,1,5,5.5,5
178,40,9,3,3,3.5,5
179,40,30,10,3,3.5,5
180,40,9,3,3,3.5,5
181,40,45,15,3,3.5,5
182,40,30,10,3,3.5,5
183,40,9,3,3,3.5,5
184,40,9,3,3,3.5,5
185,40,9,3,3,3.5,5
186,40,45,15,3,3.5,5
187,40,15,5,3,3.5,5
188,40,15,5,3,3.5,5
189,40,5,1,5,5.5,5
190,40,45,15,3,3.5,5
191,40,24,8,3,3.5,5
192,40,45,15,3,3.5,5
193,40,30,10,3,3.5,5
194,40,9,3,3,3.5,5
195,40,15,5,3,3.5,5
196,40,5,1,5,5.5,5
197,40,9,3,3,3.5,5
198,40,45,15,3,3.5,5
199,40,5,1,5,5.5,5
200,40,24,8,3,3.5,5
201,40,45,15,3,3.5,5
202,40,9,3,3,3.5,5
203,40,45,15,3,3.5,5
204,40,30,10,3,3.5,5
205,40,5,1,5,5.5,5
206,40,30,10,3,3.5,5
207,40,45,15,3,3.5,5
208,40,15,5,3,3.5,5
209,40,30,10,3,3.5,5
210,40,30,10,3,3.5,5
211,40,24,8,3,3.5,5
212,40,15,5,3,3.5,5
213,40,9,3,3,3.5,5
214,40,24,8,3,3.5,5
215,40,24,8,3,3.5,5
216,40,24,8,3,3.5,5
217,40,15,5,3,3.5,5
218,40,45,15,3,3.5,5
219,40,45,15,3,3.5,5
220,40,30,10,3,3.5,5
221,40,9,3,3,3.5,5
222,40,30,10,3,3.5,5
223,40,5,1,5,5.5,5
224,40,15,5,3,3.5,5
225,40,9,3,3,3.5,5
226,40,15,5,3,3.5,5
227,40,15,5,3,3.5,5
228,40,5,1,5,5.5,5
229,40,45,15,3,3.5,5
230,40,9,3,3,3.5,5
231,40,5,1,5,5.5,5
232,40,24,8,3,3.5,5
233,40,30,10,3,3.5,5
234,40,30,10,3,3.5,5
235,40,5,1,5,5.5,5
236,40,45,15,3,3.5,5
237,40,30,10,3,3.5,5
238,40,24,8,3,3.5,5
239,40,24,8,3,3.5,5
240,40,45,15,3,3.5,5
241,40,24,8,3,3.5,5
242,40,9,3,3,3.5,5
243,40,100,0.5,50,50.5,180
244,40,80,4,20,20.5,0
245,40,100,0.5,50,50.5,0
,,,,,,180
